rank,process_noise_std,measurement_noise_std,avg_rmse_filtered_px,worst_rmse_filtered_px,avg_nrf,min_nrf,avg_dead_reckoning_rmse_px
1,8,3,20.0288,26.8368,1.5489,1.0258,45.0477
2,5,2,20.1453,27.2817,1.5551,1.0091,44.8696
3,10,4,20.1646,27.4174,1.5612,1.0041,44.9269
4,15,6,20.2065,27.5423,1.5636,0.9996,44.9849
5,20,8,20.2628,27.6762,1.5642,0.9947,45.0450
6,3,1,20.2701,26.9204,1.5017,1.0227,46.9610
7,12,4,20.2762,27.1025,1.5107,1.0158,47.0524
8,15,5,20.2979,27.1655,1.5112,1.0134,47.0869
9,18,6,20.3245,27.2332,1.5113,1.0109,47.1230
10,25,10,20.3267,27.8152,1.5634,0.9898,45.1037
11,12,5,20.3542,28.0577,1.5655,0.9812,45.2275
12,30,10,20.4532,27.5229,1.5088,1.0003,47.2655
13,25,8,20.5912,27.7380,1.4902,0.9925,48.3100
14,18,8,20.8423,29.5603,1.5679,0.9313,46.3074
15,10,3,20.9176,28.2580,1.4529,0.9742,50.3225
16,20,6,20.9755,28.4275,1.4541,0.9684,50.3996
17,18,5,21.6645,29.7075,1.4028,0.9267,53.5148
18,8,4,22.0290,33.1032,1.5455,0.8317,50.0120
19,10,5,22.0362,33.1497,1.5489,0.8305,50.0071
20,12,6,22.0472,33.1953,1.5515,0.8293,50.0027
21,15,4,22.1031,30.5016,1.3726,0.9026,55.3993
22,20,10,22.1206,33.3907,1.5572,0.8245,49.9880
23,30,8,22.1877,30.7117,1.3718,0.8964,55.4512
24,12,3,22.9223,31.9576,1.3215,0.8615,58.7140
25,8,2,22.9252,31.9347,1.3201,0.8621,58.7149
26,20,5,22.9440,32.0317,1.3223,0.8595,58.7212
27,15,8,23.0100,36.0391,1.5440,0.7639,52.9529
28,25,6,23.5479,33.0983,1.2886,0.8318,61.0097
29,18,10,23.7166,38.1095,1.5395,0.7224,55.1007
30,18,4,24.7670,35.1127,1.2226,0.7841,65.7391
31,5,3,25.1191,42.0048,1.4997,0.6554,59.9680
32,10,6,25.1192,42.1482,1.5146,0.6532,59.9090
33,8,5,25.9728,44.5691,1.5015,0.6177,62.7428
34,15,3,26.7696,38.2502,1.1286,0.7197,73.1040
35,20,4,26.7728,38.2700,1.1289,0.7194,73.0930
36,10,2,26.7754,38.2403,1.1278,0.7199,73.1151
37,25,5,26.7813,38.2964,1.1290,0.7189,73.0817
38,30,6,26.7924,38.3261,1.1289,0.7183,73.0704
39,5,1,26.8000,38.2429,1.1260,0.7199,73.1283
40,12,8,27.4481,48.9014,1.4992,0.5630,67.5008
41,3,2,27.4503,48.5546,1.4659,0.5670,67.5904
42,15,10,27.4649,48.9895,1.5044,0.5620,67.4421
43,8,6,30.4217,57.2842,1.4670,0.4806,77.4349
44,18,3,31.0671,44.3925,0.9662,0.6202,88.2784
45,12,2,31.0716,44.3838,0.9658,0.6203,88.2860
46,30,5,31.0779,44.4321,0.9663,0.6196,88.2604
47,25,4,32.1776,45.8914,0.9312,0.5999,92.0962
48,5,4,32.1911,62.1244,1.4412,0.4431,83.2973
49,10,8,32.2117,62.4212,1.4624,0.4410,83.3104
50,12,10,33.3972,65.8175,1.4608,0.4183,87.1550
51,20,3,34.0318,48.2917,0.8771,0.5701,98.4684
52,15,2,37.7610,52.9263,0.7846,0.5202,111.0756
53,30,4,37.7644,52.9549,0.7848,0.5199,111.0754
54,3,3,38.8748,80.4883,1.3833,0.3420,105.0967
55,5,5,38.9019,80.7833,1.4000,0.3408,105.2653
56,8,8,38.9377,81.0719,1.4164,0.3396,105.3806
57,10,10,38.9574,81.1995,1.4237,0.3390,105.3968
58,8,1,39.9996,55.5975,0.7374,0.4952,118.5143
59,25,3,41.4557,57.3410,0.7098,0.4801,123.4161
60,18,2,44.3661,60.6930,0.6598,0.4536,133.0453
61,5,6,44.6947,96.5080,1.3676,0.2853,123.9060
62,8,10,46.0500,100.2511,1.3772,0.2746,128.2084
63,3,4,47.9724,105.0049,1.3307,0.2622,134.2119
64,30,3,48.6271,65.5010,0.5980,0.4203,147.0519
65,20,2,48.6273,65.4915,0.5979,0.4204,147.0499
66,10,1,48.6397,65.4935,0.5977,0.4204,147.0483
67,5,8,53.4281,119.2301,1.3230,0.2309,151.3463
68,3,5,54.5222,121.8990,1.2971,0.2258,154.6272
69,12,1,56.7230,74.3020,0.5071,0.3705,173.3873
70,25,2,58.6355,76.3521,0.4896,0.3606,179.6204
71,3,6,59.1195,133.0293,1.2785,0.2069,168.5289
72,5,10,59.2189,133.1002,1.3013,0.2068,168.9025
73,3,8,64.7085,144.6774,1.2710,0.1903,184.4537
74,30,2,67.6473,85.8147,0.4208,0.3208,208.7019
75,15,1,67.6565,85.8174,0.4207,0.3208,208.7023
76,3,10,67.7665,149.0044,1.2849,0.1848,192.0968
77,18,1,77.1383,95.5774,0.3665,0.2880,239.1470
78,20,1,82.6765,101.2155,0.3409,0.2720,256.8743
79,25,1,94.0011,112.6488,0.2984,0.2444,293.0238
80,30,1,102.2161,120.8814,0.2736,0.2277,319.1697
