kp,ki,kd,max_slew_deg_s,avg_rmse_px,slew_compliance_pct,spec_compliant
0.10,0.00,0.00,5.0,24.6131,100.0,FAIL
0.10,0.00,0.01,5.0,23.2651,100.0,FAIL
0.10,0.00,0.02,5.0,23.2142,100.0,FAIL
0.10,0.00,0.05,5.0,27.8814,100.0,FAIL
0.10,0.01,0.00,5.0,24.8123,100.0,FAIL
0.10,0.01,0.01,5.0,23.9548,100.0,FAIL
0.10,0.01,0.02,5.0,23.5339,100.0,FAIL
0.10,0.01,0.05,5.0,27.8235,100.0,FAIL
0.10,0.02,0.00,5.0,24.8379,100.0,FAIL
0.10,0.02,0.01,5.0,24.2246,100.0,FAIL
0.10,0.02,0.02,5.0,23.6424,100.0,FAIL
0.10,0.02,0.05,5.0,27.9693,100.0,FAIL
0.10,0.05,0.00,5.0,24.4595,100.0,FAIL
0.10,0.05,0.01,5.0,24.0034,100.0,FAIL
0.10,0.05,0.02,5.0,24.9613,100.0,FAIL
0.10,0.05,0.05,5.0,33.2870,100.0,FAIL
0.20,0.00,0.00,5.0,25.4514,100.0,FAIL
0.20,0.00,0.01,5.0,20.1515,100.0,FAIL
0.20,0.00,0.02,5.0,15.9313,100.0,FAIL
0.20,0.00,0.05,5.0,19.9081,100.0,FAIL
0.20,0.01,0.00,5.0,25.6037,100.0,FAIL
0.20,0.01,0.01,5.0,20.2797,100.0,FAIL
0.20,0.01,0.02,5.0,15.9765,100.0,FAIL
0.20,0.01,0.05,5.0,20.0538,100.0,FAIL
0.20,0.02,0.00,5.0,26.5787,100.0,FAIL
0.20,0.02,0.01,5.0,20.1116,100.0,FAIL
0.20,0.02,0.02,5.0,16.2223,100.0,FAIL
0.20,0.02,0.05,5.0,20.1892,100.0,FAIL
0.20,0.05,0.00,5.0,28.4129,100.0,FAIL
0.20,0.05,0.01,5.0,19.9625,100.0,FAIL
0.20,0.05,0.02,5.0,16.0314,100.0,FAIL
0.20,0.05,0.05,5.0,20.5507,100.0,FAIL
0.30,0.00,0.00,5.0,41.4165,100.0,FAIL
0.30,0.00,0.01,5.0,31.5059,100.0,FAIL
0.30,0.00,0.02,5.0,24.7603,100.0,FAIL
0.30,0.00,0.05,5.0,28.5659,100.0,FAIL
0.30,0.01,0.00,5.0,42.6042,100.0,FAIL
0.30,0.01,0.01,5.0,32.0872,100.0,FAIL
0.30,0.01,0.02,5.0,29.0647,100.0,FAIL
0.30,0.01,0.05,5.0,28.7194,100.0,FAIL
0.30,0.02,0.00,5.0,39.5564,100.0,FAIL
0.30,0.02,0.01,5.0,32.1964,100.0,FAIL
0.30,0.02,0.02,5.0,29.3987,100.0,FAIL
0.30,0.02,0.05,5.0,28.8703,100.0,FAIL
0.30,0.05,0.00,5.0,41.2179,100.0,FAIL
0.30,0.05,0.01,5.0,32.9630,100.0,FAIL
0.30,0.05,0.02,5.0,27.3793,100.0,FAIL
0.30,0.05,0.05,5.0,29.3099,100.0,FAIL
0.40,0.00,0.00,5.0,61.5357,100.0,FAIL
0.40,0.00,0.01,5.0,48.4603,100.0,FAIL
0.40,0.00,0.02,5.0,45.9739,100.0,FAIL
0.40,0.00,0.05,5.0,41.3851,100.0,FAIL
0.40,0.01,0.00,5.0,62.1644,100.0,FAIL
0.40,0.01,0.01,5.0,48.7645,100.0,FAIL
0.40,0.01,0.02,5.0,46.9082,100.0,FAIL
0.40,0.01,0.05,5.0,41.6235,100.0,FAIL
0.40,0.02,0.00,5.0,48.6797,100.0,FAIL
0.40,0.02,0.01,5.0,49.0685,100.0,FAIL
0.40,0.02,0.02,5.0,47.3961,100.0,FAIL
0.40,0.02,0.05,5.0,41.8624,100.0,FAIL
0.40,0.05,0.00,5.0,49.2811,100.0,FAIL
0.40,0.05,0.01,5.0,49.4477,100.0,FAIL
0.40,0.05,0.02,5.0,48.5829,100.0,FAIL
0.40,0.05,0.05,5.0,42.5832,100.0,FAIL
0.50,0.00,0.00,5.0,114.6993,100.0,FAIL
0.50,0.00,0.01,5.0,108.0665,100.0,FAIL
0.50,0.00,0.02,5.0,61.6994,100.0,FAIL
0.50,0.00,0.05,5.0,67.8027,100.0,FAIL
0.50,0.01,0.00,5.0,115.0901,100.0,FAIL
0.50,0.01,0.01,5.0,107.8887,100.0,FAIL
0.50,0.01,0.02,5.0,62.0255,100.0,FAIL
0.50,0.01,0.05,5.0,68.0721,100.0,FAIL
0.50,0.02,0.00,5.0,115.4994,100.0,FAIL
0.50,0.02,0.01,5.0,108.2068,100.0,FAIL
0.50,0.02,0.02,5.0,62.3554,100.0,FAIL
0.50,0.02,0.05,5.0,68.3378,100.0,FAIL
0.50,0.05,0.00,5.0,98.0338,100.0,FAIL
0.50,0.05,0.01,5.0,107.9108,100.0,FAIL
0.50,0.05,0.02,5.0,51.9217,100.0,FAIL
0.50,0.05,0.05,5.0,69.1004,100.0,FAIL
0.60,0.00,0.00,5.0,108.4337,100.0,FAIL
